key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ABIOGENIC_OIL,abiogenic oil,,,,,,,,,,
ACCELERATIONISM,accelerationism,,,,,,,,,,
ACOSMISM,acosmism,,,,,,,,,,
AGARTHA,agartha,,,,,,,,,,
AKASHIC_RECORDS,akashic records,,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE,all conspiracies are true,,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE,All of human history is fake,,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY,amazon rainforrest was built by an ancient society,,,,,,,,,,
ANATTA,anatta,,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD,ancient egypt was advanced and the sphinx was eroded by water in a great flood,,,,,,,,,,
ANIMISM,animism,,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD,annunaki created humans to mine gold,,,,,,,,,,
ANTARCTICA,antarctica,,,,,,,,,,
ARCHONS,archons,,,,,,,,,,
ASTRAL_PROJECTION,astral projection,,,,,,,,,,
ATLANTIS,atlantis,,,,,,,,,,
AURA,aura,,,,,,,,,,
BALTIC_SEA_ANOMALY,baltic sea anomaly,,,,,,,,,,
BICAMERALISM,bicameralism,,,,,,,,,,
BIG_PHARMA,big pharma,,,,,,,,,,
BOHEMIAN_GROVE,bohemian grove,,,,,,,,,,
BOOTES_VOID,bootes void,,,,,,,,,,
BRAIN_IN_A_JAR,brain in a jar,,,,,,,,,,
BREATHARIANISM,breatharianism,,,,,,,,,,
BUTTERFLY_EFFECT,butterfly effect,,,,,,,,,,
CAVE_DWELLER_HOLOCAUST,cave dweller holocaust,,,,,,,,,,
CLASSICAL_METAPHYSICS,classical metaphysics,,,,,,,,,,
CRYSTAL_SKULLS,crystal skulls,,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS,"deep soy, xeno estrogens",,,,,,,,,,
DIVINATION,divination,,,,,,,,,,
DMT_BEINGS,DMT beings,,,,,,,,,,
DOGON_TRIBE,dogon tribe,,,,,,,,,,
DOLPHIN_INTELLIGENCE,dolphin intelligence,,,,,,,,,,
DREAM_HACKING,dream hacking,,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE,eating food makes you age,,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES,elite politician body doubles,,,,,,,,,,
EXPERIMENTS_ON_HUMANS,experiments on humans,,,,,,,,,,
FIELD_CONCIOUSNESS,field conciousness,,,,,,,,,,
FISH_RAIN,fish rain,,,,,,,,,,
FLOURID_EFFECT,flourid effect,,,,,,,,,,
FRACTIALIZATION,fractialization,,,,,,,,,,
FULLCANELLI,fullcanelli,,,,,,,,,,
GANGSTALKING,gangstalking,,,,,,,,,,
GENEPOOL_FINANCIALIZATION,genepool financialization,,,,,,,,,,
GEOMETRODYNAMICS,geometrodynamics,,,,,,,,,,
GHOST_CONDENSATE,ghost condensate,,,,,,,,,,
GLOBAL_DEPOPULATION,global depopulation,,,,,,,,,,
GODS_EGO_DEATH,god's ego death,,,,,,,,,,
