key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ALLSEEINGEYE_DESCRIPTION,Summons a ALL_SEEING_EYE that debuffs an enemy target with increased crit hit chance.,,,,,,,,,,
ANCESTRALMEMORIES_DESCRIPTION,"Summons a ANCESTRAL_MEMORIES, that gives damage boost to nearby MENTAL_CONSTRUCTs.",,,,,,,,,,
ANNUNAKISUNDIAL_DESCRIPTION,"Summons a ANNUNAKI_SUNDIAL, spawns a beam of light that tracks enemies.",,,,,,,,,,
BLACKCUBE_DESCRIPTION,"Summons a BLACK_CUBE, that increases damage of all nearby MENTAL_CONSTRUCTs, on enemy killed in range.",,,,,,,,,,
BUTTERFLYEFFECT_DESCRIPTION,"Summons a BUTTERFLY_EFFECT, that spawns a butterfly that has a chance to summon hurrican outside of it's range.",,,,,,,,,,
CRYSTALSKULLS_DESCRIPTION,"Summons a CRYSTAL_SKULLS, that spawns a crystal skull that summons a mayan calendar wheel that will damage enemies as it travels up the path.",,,,,,,,,,
FISHRAIN_DESCRIPTION,"Summons a FISH_RAIN, that spawns a rain of fish that attack nearby enemies.",,,,,,,,,,
FLUGELRADS_DESCRIPTION,"Summons a FLUGELRAD_BASE, spawns Flugelrads to hunt down enemies.",,,,,,,,,,
GNOSIS_DESCRIPTION,"At the start of an enemy wave, you will recieve a selection of Conspiracies to choose from.",,,,,,,,,,
HEMISYNC_RECOVERY_DESCRIPTION,Increases your HEMISYNC by %s at the end of each round.,,,,,,,,,,
KUNDALINI_DESCRIPTION,"The center of your shattered psyche, protect it at all costs.",,,,,,,,,,
MACHINEELVELS_DESCRIPTION,The enemies in the game that are trying to return the player to the physical world.,,,,,,,,,,
MANIWHEEL_DESCRIPTION,"Summons a MANI_WHEEL, that spawns a manni wheel that slows enemies in range.",,,,,,,,,,
MENTALCONSTRUCT_DESCRIPTION,A psychic construct that can be summoned to guard your KUNDALINI.,,,,,,,,,,
PHILOSOPHERSSTONE_DESCRIPTION,"Summons a PHILOSOPHERS_STONE, that gives damage over time to all nearby enemies.",,,,,,,,,,
POLARSHIFT_DESCRIPTION,Reshuffle your deck and draw %s cards.,,,,,,,,,,
PSYOP_DESCRIPTION,"Discard all cards in hand, and draw an equal amount.",,,,,,,,,,
PYRAMID_CARDS_DESCRIPTION,"Summons a PYRAMID, Attacks nearby enemies with volleys of energy. ",,,,,,,,,,
REROLLS_DESCRIPTION,Gives a different selection of Conspiracies to choose from during GNOSIS.,,,,,,,,,,
SACREDGEOMETRY_DESCRIPTION,"Summons a SACRED_GEOMETRY, gives nearby MENTAL_CONSTRUCTs a chance to ricochet their attacks on hit.",,,,,,,,,,
SACRIFICE_DESCRIPTION,Trashes a card out of your deck.,,,,,,,,,,
TUNINGFORK_DESCRIPTION,"Summons a TUNING_FORK, that spawns a tuning fork that increases the attack speed of nearby towers.",,,,,,,,,,
UFO_DESCRIPTION,"Summons a UFO_PORTAL, that spawns UFOs that abduct enemies, taking them further back up along the path.",,,,,,,,,,
