key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ABIOGENIC_OIL_ABILITY,,,,,,,,,,,
ACCELERATIONISM_ABILITY,,,,,,,,,,,
ACOSMISM_ABILITY,,,,,,,,,,,
AGARTHA_ABILITY,,,,,,,,,,,
AKASHIC_RECORDS_ABILITY,,,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE_ABILITY,,,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE_ABILITY,,,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY_ABILITY,,,,,,,,,,,
ANATTA_ABILITY,Grants %s chance for enemy damage to miss.,,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD_ABILITY,,,,,,,,,,,
ANIMISM_ABILITY,,,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD_ABILITY,,,,,,,,,,,
ANTARCTICA_ABILITY,Puts %s FLUGELRADS into DECK,,,,,,,,,,
ARCHONS_ABILITY,,,,,,,,,,,
ASTRAL_PROJECTION_ABILITY,Doubles the range of a MENTAL_CONSTRUCT,,,,,,,,,,
ATLANTIS_ABILITY,Grants +%s PYRAMID CARDS to deck.,,,,,,,,,,
AURA_ABILITY,"Grants a MENTAL_CONSTRUCT AURA, granting that construct +%s psychic damage.",,,,,,,,,,
BALTIC_SEA_ANOMALY_ABILITY,UFOs can attack +%s extra times before returning to base.,,,,,,,,,,
BICAMERALISM_ABILITY,,,,,,,,,,,
BIG_PHARMA_ABILITY,Grants +%s HEMISYNC RECOVERY at end of round.,,,,,,,,,,
BOHEMIAN_GROVE_ABILITY,SACRIFICE %s cards to from your hand and for each card sacrificed givens +%s extra damage to next MENTAL_CONSTRUCT,,,,,,,,,,
BOOTES_VOID_ABILITY,,,,,,,,,,,
BRAIN_IN_A_JAR_ABILITY,"Encases your mind in a jar, creating an explosion of glass shards, damaging enemies in a radius for %s psychic damage on enemy contact.",,,,,,,,,,
BREATHARIANISM_ABILITY,,,,,,,,,,,
BUTTERFLY_EFFECT_ABILITY,Put %s BUTTERFLY_EFFECT into deck.,,,,,,,,,,
CAVE_DWELLER_HOLOCAUST_ABILITY,,,,,,,,,,,
CLASSICAL_METAPHYSICS_ABILITY,,,,,,,,,,,
CRYSTAL_SKULLS_ABILITY,Put %s CRYSTAL_SKULLS into deck.,,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS_ABILITY,,,,,,,,,,,
DIVINATION_ABILITY,SEARCH DECK for %s CARDS,,,,,,,,,,
DMT_BEINGS_ABILITY,Increases damage against MACHINE_ELVELS by +%s,,,,,,,,,,
DOGON_TRIBE_ABILITY,UFOs now give +%s insight per abducted enemy.,,,,,,,,,,
DOLPHIN_INTELLIGENCE_ABILITY,,,,,,,,,,,
DREAM_HACKING_ABILITY,,,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE_ABILITY,,,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES_ABILITY,Transform one MENTAL_CONSTRUCT into another.,,,,,,,,,,
EXPERIMENTS_ON_HUMANS_ABILITY,Put %s ANCESTRAL_MEMORIES into DECK,,,,,,,,,,
FIELD_CONCIOUSNESS_ABILITY,,,,,,,,,,,
FISH_RAIN_ABILITY,Put %s FISH_RAIN into deck.,,,,,,,,,,
FLOURID_EFFECT_ABILITY,Gain +%s decalcification per round,,,,,,,,,,
FRACTIALIZATION_ABILITY,,,,,,,,,,,
FULLCANELLI_ABILITY,"When selling a MENTAL_CONSTRUCT, gain +%s insight per level of the MENTAL_CONSTRUCT.",,,,,,,,,,
GANGSTALKING_ABILITY,Increases debuff speed of ALL_SEEING_EYE by +%s,,,,,,,,,,
GENEPOOL_FINANCIALIZATION_ABILITY,"When selling ANCESTRAL_MEMORIES, gain +%s insight per level of the ANCESTRAL_MEMORIES.",,,,,,,,,,
GEOMETRODYNAMICS_ABILITY,,,,,,,,,,,
GHOST_CONDENSATE_ABILITY,,,,,,,,,,,
