key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ABIOGENIC_OIL_DESCRIPTION,Is oil not from fossils?,,,,,,,,,,
ACCELERATIONISM_DESCRIPTION,Speeding towards the future or doom?,,,,,,,,,,
ACOSMISM_DESCRIPTION,Is the material world an illusion?,,,,,,,,,,
AGARTHA_DESCRIPTION, A hidden world beneath the Earth's surface.,,,,,,,,,,
AKASHIC_RECORDS_DESCRIPTION,Unveiling the nature of reality?,,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE_DESCRIPTION,A world where every theory holds water?,,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE_DESCRIPTION,Is everything we know a lie?,,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY_DESCRIPTION,A man-made marvel or natural wonder?,,,,,,,,,,
ANATTA_DESCRIPTION,No self or control over identity?,,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD_DESCRIPTION,A civilization lost to time and water?,,,,,,,,,,
ANIMISM_DESCRIPTION,Every object has a spirit?,,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD_DESCRIPTION,Are we an alien workforce?,,,,,,,,,,
ANTARCTICA_DESCRIPTION,Secrets hidden beneath the ice.,,,,,,,,,,
ARCHONS_DESCRIPTION,Malevolent entities controlling our reality?,,,,,,,,,,
ASTRAL_PROJECTION_DESCRIPTION,Traveling between dimensions.,,,,,,,,,,
ATLANTIS_DESCRIPTION,Discover the lost city beneath the waves.,,,,,,,,,,
AURA_DESCRIPTION,Can you see the energy around us?,,,,,,,,,,
BALTIC_SEA_ANOMALY_DESCRIPTION,UFO wreckage or just a natural formation?,,,,,,,,,,
BICAMERALISM_DESCRIPTION,Were we once commanded by voices?,,,,,,,,,,
BIG_PHARMA_DESCRIPTION,Unveil the hidden agendas of pharmaceutical giants.,,,,,,,,,,
BOHEMIAN_GROVE_DESCRIPTION,Secret rituals of the elite?,,,,,,,,,,
BOOTES_VOID_DESCRIPTION,A cosmic mystery or something more?,,,,,,,,,,
BRAIN_IN_A_JAR_DESCRIPTION,Living in a simulated reality?,,,,,,,,,,
BREATHARIANISM_DESCRIPTION,Living on air alone?,,,,,,,,,,
BUTTERFLY_EFFECT_DESCRIPTION,"Small changes, big consequences?",,,,,,,,,,
CAVE_DWELLER_HOLOCAUST_DESCRIPTION,Were ancient cave dwellers eradicated?,,,,,,,,,,
CLASSICAL_METAPHYSICS_DESCRIPTION,Pythagoras knew more than he let on.,,,,,,,,,,
CRYSTAL_SKULLS_DESCRIPTION,Ancient artifacts or modern hoaxes?,,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS_DESCRIPTION,Are we being feminized by chemicals?,,,,,,,,,,
DIVINATION_DESCRIPTION,Seeing the future or just illusion?,,,,,,,,,,
DMT_BEINGS_DESCRIPTION,Encounters in the mind or beyond?,,,,,,,,,,
DOGON_TRIBE_DESCRIPTION,Ancient wisdom from the stars?,,,,,,,,,,
DOLPHIN_INTELLIGENCE_DESCRIPTION,Are dolphins smarter than we think?,,,,,,,,,,
DREAM_HACKING_DESCRIPTION,Can your dreams be infiltrated?,,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE_DESCRIPTION,Are we aging with every bite?,,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES_DESCRIPTION,Are our leaders who we think they are?,,,,,,,,,,
EXPERIMENTS_ON_HUMANS_DESCRIPTION, Secret labs and unknowing subjects?,,,,,,,,,,
FIELD_CONCIOUSNESS_DESCRIPTION,Collective thought as a field?,,,,,,,,,,
FISH_RAIN_DESCRIPTION,A natural phenomenon or something more?,,,,,,,,,,
FLOURID_EFFECT_DESCRIPTION,Is there more to water fluoridation than meets the eye?,,,,,,,,,,
FRACTIALIZATION_DESCRIPTION,Reality breaking into infinite patterns?,,,,,,,,,,
FULLCANELLI_DESCRIPTION,The alchemist who vanished?,,,,,,,,,,
GANGSTALKING_DESCRIPTION,Are you being followed?,,,,,,,,,,
GENEPOOL_FINANCIALIZATION_DESCRIPTION,Put a price on even your genes?,,,,,,,,,,
GEOMETRODYNAMICS_DESCRIPTION,Is space-time woven by geometry?,,,,,,,,,,
GHOST_CONDENSATE_DESCRIPTION,What are ghosts made of?,,,,,,,,,,
